#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00001					05GRK@bactNOG,11NHI@NOG	Gcn5-related n-acetyltransferase			SZUA-1123_1:101..577	Mycothiol acetyltransferase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00857	K03551	[EC:3.6.4.12]	ruvB	holliday junction DNA helicase RuvB	05CKJ@bactNOG,0GAN3@delNOG,0HC2M@dproNOG,16PE0@proNOG,COG2255@NOG	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing (By similarity)			SZUA-1123_41:c(44021..45052)	Holliday junction ATP-dependent DNA helicase RuvB	K03551	K03551	K03551	K03551	K03551
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00858	K03550	[EC:3.6.4.12]	ruvA	holliday junction DNA helicase RuvA	004JF@aciNOG,05KA4@bactNOG,COG0632@NOG	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB (By similarity)			SZUA-1123_41:c(45049..45645)	Holliday junction ATP-dependent DNA helicase RuvA	K03550	K03550		K03550	K03550
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00859	K01159	[EC:3.1.22.4]	ruvC	crossover junction endodeoxyribonuclease RuvC	004PK@aciNOG,05NHU@bactNOG,COG0817@NOG	Nuclease that resolves Holliday junction intermediates in genetic recombination. Cleaves the cruciform structure in supercoiled DNA by nicking to strands with the same polarity at sites symmetrically opposed at the junction in the homologous arms and leaves a 5'-terminal phosphate and a 3'-terminal hydroxyl group (By similarity)			SZUA-1123_41:c(45650..46192)	Crossover junction endodeoxyribonuclease RuvC	K01159	K01159		K01159	K01159
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00860					05CDY@bactNOG,0GB25@delNOG,0HCE8@dproNOG,16PTD@proNOG,COG0217@NOG	transcriptional regulatory protein			SZUA-1123_41:c(46189..46938)	putative transcriptional regulatory protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00861					05ZC6@bactNOG,0G8RJ@deiNOG,11WAS@NOG	methyltransferase type			SZUA-1123_41:c(47051..47821)	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00862					07QAB@bactNOG,09QXI@bctoNOG,0ZV3C@NOG				SZUA-1123_41:47825..48373	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00863	K20793	[EC:2.3.1.258]	NAA50, NAT5	N-alpha-acetyltransferase 50	05NFI@bactNOG,0GPU7@delNOG,0HPS8@dproNOG,17UNZ@proNOG,COG0454@NOG	GCN5-related N-acetyltransferase			SZUA-1123_41:c(48370..48855)	hypothetical protein	K20793				K20793
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00864					086MR@bactNOG,0ZI5J@NOG	Cytochrome c			SZUA-1123_41:c(48893..49315)	Cbb3-type cytochrome c oxidase subunit CcoP					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00865									SZUA-1123_41:c(49327..49779)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00866	K01652	[EC:2.2.1.6]	E2.2.1.6L, ilvB, ilvG, ilvI	acetolactate synthase I/II/III large subunit	05CFN@bactNOG,COG0028@NOG	oxalyl-CoA decarboxylase			SZUA-1123_41:c(49983..51914)	Acetolactate synthase large subunit IlvG	K01652	K01652		K01652	K21428
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00867	K20333		toxD	toxoflavin biosynthesis protein ToxD	08C04@bactNOG,09A92@bctoNOG,1AK14@sphNOG,COG1262@NOG	sulfatase-modifying factor protein			SZUA-1123_41:c(51979..52848)	Serine/threonine-protein kinase pkn1	K20333				K20333
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00868	K00681	[EC:2.3.2.2][EC:3.4.19.13]	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase	05CFB@bactNOG,0R0E1@gproNOG,17WSG@proNOG,COG0405@NOG	Gamma-glutamyltranspeptidase			SZUA-1123_41:c(52905..54776)	Glutathione hydrolase proenzyme	K00681	K00681		K00681	K00681
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00869	K09022	[EC:3.5.99.10]	ridA, tdcF, RIDA	2-iminobutanoate/2-iminopropanoate deaminase	006VF@aciNOG,08AIX@bactNOG,COG0251@NOG	endoribonuclease L-PSP			SZUA-1123_41:c(54813..55274)	2-iminobutanoate/2-iminopropanoate deaminase	K09022				K09022
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00870	K00344	[EC:1.6.5.5]	qor, CRYZ	NADPH2:quinone reductase	05EE6@bactNOG,0B76D@bproNOG,16RD1@proNOG,COG0604@NOG	Alcohol dehydrogenase zinc-binding domain protein			SZUA-1123_41:c(55271..56260)	Quinone oxidoreductase 1	K00344	K00344	K00344	K00344	K21839
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00871	K11473		glcF	glycolate oxidase iron-sulfur subunit	00BIQ@actNOG,05CHG@bactNOG,COG0247@NOG	Cysteine-rich domain protein			SZUA-1123_41:56440..57789	Lactate utilization protein A	K11473	K11473	K11473	K11473	K21834
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00872	K11472		glcE	glycolate oxidase FAD binding subunit	00EQ5@actNOG,05EU8@bactNOG,COG0277@NOG	FAD linked oxidase domain protein			SZUA-1123_41:c(57993..59273)	putative FAD-linked oxidoreductase	K11472	K11472		K00104	K21836
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00873	K00104	[EC:1.1.3.15]	glcD	glycolate oxidase	05CQB@bactNOG,COG0277@NOG	FAD linked oxidase domain protein			SZUA-1123_41:c(59295..60743)	putative FAD-linked oxidoreductase	K00104	K00104	K00104	K00102	K21836
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00874					086KK@bactNOG,0GCVS@delNOG,0HE7J@dproNOG,0XS18@NOG,175F8@proNOG	IgA Peptidase M64			SZUA-1123_41:c(60869..62323)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00875									SZUA-1123_41:62607..62822	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00876									SZUA-1123_41:62883..63095	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00877									SZUA-1123_41:c(63201..63917)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00878	K11434	[EC:2.1.1.319]	PRMT1	type I protein arginine methyltransferase	05NU6@bactNOG,0FTK3@cyaNOG,0XQYH@NOG	PRMT5 arginine-N-methyltransferase			SZUA-1123_41:c(63943..64437)	hypothetical protein	K11434			K11434	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00880	K00927	[EC:2.7.2.3]	PGK, pgk	phosphoglycerate kinase	05BZA@bactNOG,0ENRZ@cloNOG,0ND8W@firmNOG,COG0126@NOG	Phosphoglycerate kinase			SZUA-1123_42:90..1289	Bifunctional PGK/TIM	K00927	K00927		K00927	K15330
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00881	K01803	[EC:5.3.1.1]	TPI, tpiA	triosephosphate isomerase (TIM)	05CP7@bactNOG,COG0149@NOG	Triose-phosphate isomerase			SZUA-1123_42:1428..2192	Triosephosphate isomerase	K01803	K01803	K01803	K01803	K21910
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00882	K03075		secG	preprotein translocase subunit SecG	08581@bactNOG,0GRY3@delNOG,0HRKP@dproNOG,0ZXMK@NOG,16X3V@proNOG	translocase subunit secG			SZUA-1123_42:2203..2574	Protein-export membrane protein SecG	K03075	K03075		K03075	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00884					05QAY@bactNOG,11WUD@NOG,15520@plaNOG	DinB family			SZUA-1123_43:c(1030..1518)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00885	K11212	[EC:2.7.8.28]	cofD	LPPG:FO 2-phospho-L-lactate transferase	05CHW@bactNOG,1C8BM@synNOG,COG0391@NOG	Uncharacterised protein family UPF0052			SZUA-1123_43:1851..2819	Gluconeogenesis factor	K11212				K11212
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00886	K01971	[EC:6.5.1.1]	ligD	bifunctional non-homologous end joining protein LigD	01T2M@aproNOG,05DQE@bactNOG,16PTE@proNOG,COG1793@NOG,COG3285@NOG	DNA ligase			SZUA-1123_43:c(2834..3613)	Multifunctional non-homologous end joining protein LigD	K01971	K01971		K01971	K01971
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00887	K03307		TC.SSS	solute:Na+ symporter, SSS family	0002F@acidNOG,003IM@aciNOG,07V5J@bactNOG,COG0591@NOG	Na solute symporter			SZUA-1123_43:3738..5174	High-affinity proline transporter PutP	K03307	K03307		K03307	K20989
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00888					08M3S@bactNOG,0YDUT@NOG	radical SAM domain protein			SZUA-1123_43:5207..6553	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00889	K20141	[EC:6.4.1.7]	cfiB	2-oxoglutarate carboxylase small subunit	08H0N@bactNOG,0GEAJ@delNOG,0HEX4@dproNOG,17AX8@proNOG,COG0439@NOG	Inherit from proNOG: Phosphoribosylglycinamide synthetase			SZUA-1123_43:6795..8063	Alanine--anticapsin ligase	K20141				K20141
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00890					05KMG@bactNOG,COG2924@NOG	Could be a mediator in iron transactions between iron acquisition and iron-requiring processes, such as synthesis and or repair of Fe-S clusters in biosynthetic enzymes (By similarity)			SZUA-1123_43:c(8071..8415)	putative Fe(2+)-trafficking protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00891					05C0R@bactNOG,0D1S0@chloNOG,0XNN3@NOG	drug resistance transporter, EmrB QacA subfamily			SZUA-1123_43:8527..10035	Multidrug resistance protein 3					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00892	K07812	[EC:1.7.2.3]	torZ	trimethylamine-N-oxide reductase (cytochrome c)	02ECS@aproNOG,08J2R@bactNOG,17346@proNOG,COG0243@NOG	Molybdopterin oxidoreductase			SZUA-1123_43:c(10073..12166)	Putative dimethyl sulfoxide reductase chain YnfE	K07812			K07812	K21307
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00893					055ZH@bacteNOG,08KH6@bactNOG,09AP2@bctoNOG,0XP3Q@NOG				SZUA-1123_43:12204..13334	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00894									SZUA-1123_43:13562..13753	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00895					004XW@aciNOG,05DXW@bactNOG,0XQEH@NOG	Inherit from bactNOG: Membrane associated hydrolase			SZUA-1123_43:13898..16792	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00896	K00297	[EC:1.5.1.20]	metF, MTHFR	methylenetetrahydrofolate reductase (NADPH)	05SYT@bactNOG,1DH0D@verNOG,1DMNH@verrNOG,COG0685@NOG	Methylenetetrahydrofolate reductase			SZUA-1123_43:c(16907..17956)	5,10-methylenetetrahydrofolate reductase	K00297	K00297		K00297	K00297
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00897	K11779	[EC:2.5.1.77]	fbiC	FO synthase	05DKF@bactNOG,0D4P2@chloNOG,COG1060@NOG	Elp3			SZUA-1123_44:322..2784	FO synthase	K11779	K11779	K11779	K11779	K18285
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00898									SZUA-1123_44:2810..3355	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00899	K01468	[EC:3.5.2.7]	hutI, AMDHD1	imidazolonepropionase	07UZB@bactNOG,0GGFT@delNOG,0HGRN@dproNOG,176AI@proNOG,COG1228@NOG	Amidohydrolase family			SZUA-1123_45:74..1516	Imidazolonepropionase	K01468				K01468
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00900									SZUA-1123_45:2200..3003	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00901									SZUA-1123_45:3442..3729	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00902									SZUA-1123_45:3892..4281	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00903									SZUA-1123_45:c(4469..4885)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00904					05D5E@bactNOG,0XPIT@NOG,1DJSF@verNOG	Protein of unknown function (DUF1501)			SZUA-1123_45:c(5119..6588)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00905					05DNQ@bactNOG,0XQ46@NOG,152Q9@plaNOG	Planctomycete cytochrome C			SZUA-1123_45:c(6597..9935)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00906	K16279	[EC:2.7.11.1][EC:2.3.2.27]	KEG	E3 ubiquitin-protein ligase KEG	006QM@aciNOG,05JXB@bactNOG,COG0666@NOG	ANK			SZUA-1123_46:c(230..1558)	Phosphocholine transferase AnkX	K16279		K16279		K18696
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00907	K00031	[EC:1.1.1.42]	IDH1, IDH2, icd	isocitrate dehydrogenase	05E9K@bactNOG,COG2838@NOG	Isocitrate dehydrogenase			SZUA-1123_47:c(733..1296)	Isocitrate dehydrogenase [NADP]	K00031	K00031		K00031	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00908	K08354		phsC	thiosulfate reductase cytochrome b subunit	027RJ@aproNOG,08S1C@bactNOG,177YE@proNOG,COG4117@NOG	Prokaryotic cytochrome b561			SZUA-1123_47:1316..2104	Putative protein-methionine-sulfoxide reductase subunit YedZ1	K08354				K08354
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00909	K07147	[EC:1.8.-.-]	msrP	methionine sulfoxide reductase catalytic subunit	01SK6@aproNOG,05EQW@bactNOG,16S0X@proNOG,COG2041@NOG	The exact function is not known. Can catalyze the reduction of a variety of substrates like dimethyl sulfoxide, trimethylamine N-oxide, phenylmethyl sulfoxide and L-methionine sulfoxide. Cannot reduce cyclic N-oxides. Shows no activity as sulfite oxidase (By similarity)			SZUA-1123_47:2101..2895	Putative protein-methionine-sulfoxide reductase subunit YedZ1	K07147			K07147	K17225
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00910					05CKG@bactNOG,0XPAB@NOG,1DHJT@verNOG,1DNA0@verrNOG	Protein of unknown function (DUF1549)			SZUA-1123_47:3151..6351	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00911					07I2K@bactNOG,0Z3I4@NOG,1DH5M@verNOG,1DNGC@verrNOG	Protein of unknown function (DUF1501)			SZUA-1123_47:6397..7863	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00912									SZUA-1123_47:c(7880..8140)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00913									SZUA-1123_47:8163..8792	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00914					07T5P@bactNOG,0ZQG8@NOG	WD40 domain protein beta Propeller			SZUA-1123_47:c(8814..11897)	Protein TolB					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00915					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_47:11934..12377	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00916					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_47:12407..13441	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00917	K09252	[EC:3.1.1.73]	FAEB	feruloyl esterase	00088@acidNOG,0044Z@aciNOG,05R0I@bactNOG,0XQEN@NOG	Feruloyl esterase			SZUA-1123_47:13458..15056	Mono(2-hydroxyethyl) terephthalate hydrolase	K09252			K09252	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00918	K00114	[EC:1.1.2.8]	exaA	alcohol dehydrogenase (cytochrome c)	05DZG@bactNOG,COG4993@NOG	Dehydrogenase			SZUA-1123_47:15148..16776	Quinohemoprotein alcohol dehydrogenase ADH IIB	K00114			K00114	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00919					05H3S@bactNOG,11SJ3@NOG				SZUA-1123_47:c(16832..17491)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00920					05DXW@bactNOG,09A99@bctoNOG,0P7MJ@flaNOG,0XQEH@NOG	membrane associated hydrolase			SZUA-1123_47:17551..19857	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00921	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	07QQQ@bactNOG,COG4993@NOG	Pfam:PQQ_N			SZUA-1123_47:c(19915..22053)	Glycerol dehydrogenase large subunit	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00922					00572@aciNOG,089PG@bactNOG,12BIN@NOG	Protein of unknown function (DUF2911)			SZUA-1123_47:c(22291..22914)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00923					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_47:23183..24166	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00924	K00117	[EC:1.1.5.2]	gcd	quinoprotein glucose dehydrogenase	07QQQ@bactNOG,COG4993@NOG	Pfam:PQQ_N			SZUA-1123_47:24265..26331	Quinoprotein glucose dehydrogenase	K00117	K00117		K00117	K20937
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00925	K17837	[EC:3.5.2.6]	bla2, blm, ccrA, blaB	metallo-beta-lactamase class B	004GB@aciNOG,05QY9@bactNOG,COG0491@NOG	Metallo-beta-lactamase superfamily			SZUA-1123_47:26544..27458	Metallo-beta-lactamase L1 type 3	K17837	K17837		K17837	K20257
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00926					05CP5@bactNOG,0B9NI@bproNOG,175H8@proNOG,COG1432@NOG	Pfam:DUF88			SZUA-1123_47:27474..28295	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00927									SZUA-1123_47:28742..30316	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00928	K18218		tet35	tetracycline resistance efflux pump	07S6Z@bactNOG,09DCA@bctoNOG,COG1757@NOG	Na H antiporter			SZUA-1123_47:c(30457..31959)	Malate-2H(+)/Na(+)-lactate antiporter	K18218				K18218
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00929	K21430	[EC:1.1.5.-]	yliI	aldose sugar dehydrogenase	05D8V@bactNOG,0QIES@gproNOG,16S0G@proNOG,COG2133@NOG	Glucose Sorbosone dehydrogenase			SZUA-1123_47:32168..33415	Aldose sugar dehydrogenase YliI	K21430	K21430		K00117	K21430
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00930	K16264		czcD, zitB	cobalt-zinc-cadmium efflux system protein	01S5A@aproNOG,05PGM@bactNOG,16SWU@proNOG,COG1230@NOG	Cation efflux system protein			SZUA-1123_47:33497..34420	Cadmium, cobalt and zinc/H(+)-K(+) antiporter	K16264	K16264		K16264	K16264
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00931	K02433	[EC:6.3.5.6][EC:6.3.5.7]	gatA, QRSL1	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A	05C3P@bactNOG,09AQS@bctoNOG,COG0154@NOG	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1123_47:34599..36320	Glutamyl-tRNA(Gln) amidotransferase subunit A	K02433			K02433	K21801
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00932					00PSE@actNOG,05VD2@bactNOG,COG3744@NOG	PilT protein domain protein			SZUA-1123_47:36604..36996	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00933	K21375	[EC:1.3.3.13]	albA	albonoursin synthase	0IE3J@euNOG,1BC4I@strNOG,1DQ32@virNOG,COG0778@NOG	Inherit from COG: nitroreductase			SZUA-1123_47:36997..38634	hypothetical protein	K21375				K21375
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00934	K00507	[EC:1.14.19.1]	SCD, desC	stearoyl-CoA desaturase (Delta-9 desaturase)	003EP@aciNOG,05DRE@bactNOG,COG1398@NOG	Stearoyl-CoA 9-desaturase			SZUA-1123_47:38812..39678	hypothetical protein	K00507	K00507	K20416	K00507	K00507
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00935	K07636	[EC:2.7.13.3]	phoR	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	007BU@aciNOG,08JSN@bactNOG,COG5002@NOG	sensor signal transduction histidine kinase			SZUA-1123_47:39744..40655	Signal-transduction histidine kinase senX3	K07636			K07636	K07652
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00936	K02483		K02483	two-component system, OmpR family, response regulator	003JY@aciNOG,05DPZ@bactNOG,COG0745@NOG	Two component transcriptional regulator, winged helix family			SZUA-1123_47:40652..41383	Sensory transduction protein regX3	K02483			K02483	K21603
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00937									SZUA-1123_47:41454..42098	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00938					07ZXU@bactNOG,0GGPI@delNOG,0HHD0@dproNOG,16XAB@proNOG,COG2761@NOG	DsbA oxidoreductase			SZUA-1123_47:42366..42884	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00939	K18372	[EC:3.1.1.-]	acmB	methyl acetate hydrolase	08HXG@bactNOG,0RAJD@gproNOG,172EZ@proNOG,COG1680@NOG	Beta-lactamase			SZUA-1123_47:c(42910..44169)	hypothetical protein	K18372			K18372	K21469
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00940	K17713		bamB	outer membrane protein assembly factor BamB	073HY@bactNOG,0YKBA@NOG,153ZU@plaNOG				SZUA-1123_47:44479..45714	Outer membrane protein assembly factor BamB	K17713			K17713	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00941	K03386	[EC:1.11.1.15]	PRDX2_4, ahpC	peroxiredoxin (alkyl hydroperoxide reductase subunit C)	05D3R@bactNOG,0QJSN@gproNOG,16RND@proNOG,COG0450@NOG	Peroxiredoxin			SZUA-1123_47:45783..46442	Selenocysteine-containing peroxiredoxin PrxU	K03386			K03386	K03386
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00942	K09767		yajQ	cyclic-di-GMP-binding protein	08VPT@bactNOG,179VZ@proNOG,COG1666@NOG	UPF0234 protein			SZUA-1123_47:46748..47230	hypothetical protein	K09767	K09767		K09767	K09767
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00943					06QQJ@bactNOG,0YGKA@NOG,17ZTP@proNOG				SZUA-1123_47:47230..48156	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00944	K18614	[EC:3.5.1.29]	K18614	2-(acetamidomethylene)succinate hydrolase	00JNN@actNOG,08XEP@bactNOG,11JN0@NOG	Alpha beta hydrolase fold protein			SZUA-1123_47:48153..49034	hypothetical protein	K18614			K18614	
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00945					08RC3@bactNOG,11FTB@NOG				SZUA-1123_47:49203..50396	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00946					05D2Z@bactNOG,0XPGE@NOG,16QKA@proNOG	Putative cyclase			SZUA-1123_47:c(50513..51517)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00947					07E9S@bactNOG,0ZDNG@NOG,189X9@proNOG				SZUA-1123_47:51913..52410	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00948					068VT@bactNOG,0BAH8@bproNOG,0Y2GD@NOG,173M4@proNOG	pepsy-associated tm helix			SZUA-1123_47:52444..54048	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00949									SZUA-1123_47:54241..54744	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00950					05QZ9@bactNOG,0BFUS@bproNOG,11ZDY@NOG,17FPZ@proNOG				SZUA-1123_47:54782..55306	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00951					060AP@bactNOG,1294H@NOG,17P6I@proNOG				SZUA-1123_47:55313..55792	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00952					06BGT@bactNOG,0Y273@NOG,17TZN@proNOG				SZUA-1123_47:55916..56785	hypothetical protein					
Acidobacteria_bacterium_SZUA-1123|SZUA-1123_00953					07JYP@bactNOG,0R66X@gproNOG,0ZPVF@NOG,18CWQ@proNOG				SZUA-1123_47:56932..57369	hypothetical protein					
