#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00001	K01265	[EC:3.4.11.18]	map	methionyl aminopeptidase	05CA1@bactNOG,0QICC@gproNOG,16PNP@proNOG,COG0024@NOG	Removes the N-terminal methionine from nascent proteins (By similarity)			SZUA-1235_1:c(428..1207)	Methionine aminopeptidase	K01265	K01265		K01265	K14813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00639	K03117		tatB	sec-independent protein translocase protein TatB	05X8U@bactNOG,0QU7H@gproNOG,17JTA@proNOG,COG1826@NOG	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatC, TatB is part of a receptor directly interacting with Tat signal peptides. TatB may form an oligomeric binding site that transiently accommodates folded Tat precursor proteins before their translocation (By similarity)			SZUA-1235_36:c(9927..10229)	Sec-independent protein translocase protein TatB	K03117	K03117		K03117	K03425
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00640	K03116		tatA	sec-independent protein translocase protein TatA	07QBM@bactNOG,0R8A7@gproNOG,18CPN@proNOG,COG1826@NOG	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system (By similarity)			SZUA-1235_36:c(10279..10503)	Sec-independent protein translocase protein TatA	K03116	K03116		K03116	K03425
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00641	K01523	[EC:3.6.1.31]	hisE	phosphoribosyl-ATP pyrophosphohydrolase	05KPZ@bactNOG,0QU5N@gproNOG,17FQD@proNOG,COG0140@NOG	Phosphoribosyl-ATP pyrophosphatase			SZUA-1235_36:c(10612..10956)	Phosphoribosyl-ATP pyrophosphatase	K01523	K01523		K01523	K14152
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00642	K01496	[EC:3.5.4.19]	hisI	phosphoribosyl-AMP cyclohydrolase	05K8F@bactNOG,0QJ8E@gproNOG,16SFP@proNOG,COG0139@NOG	Phosphoribosyl-amp cyclohydrolase			SZUA-1235_36:c(10949..11335)	Phosphoribosyl-AMP cyclohydrolase	K01496	K01496		K01496	K14152
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00643	K02500	[EC:4.1.3.-]	hisF	cyclase	05C0S@bactNOG,0QIP9@gproNOG,16RIF@proNOG,COG0107@NOG	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit (By similarity)			SZUA-1235_36:c(11332..12105)	Imidazole glycerol phosphate synthase subunit HisF	K02500	K02500	K02500	K01663	K02500
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00644	K01814	[EC:5.3.1.16]	hisA	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	05CJV@bactNOG,0QKGS@gproNOG,16Q0N@proNOG,COG0106@NOG	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase			SZUA-1235_36:c(12115..12846)	Phosphoribosyl isomerase A	K01814	K01814	K01814	K01814	K01814
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00645	K02501	[EC:2.4.2.-]	hisH	glutamine amidotransferase	08UJE@bactNOG,0QJ38@gproNOG,16TV5@proNOG,COG0118@NOG	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR (By similarity)			SZUA-1235_36:c(12851..13498)	Imidazole glycerol phosphate synthase subunit HisH	K02501	K02501		K02501	K02501
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00646	K01693	[EC:4.2.1.19]	hisB	imidazoleglycerol-phosphate dehydratase	05ECC@bactNOG,0B780@bproNOG,16PP9@proNOG,COG0131@NOG	imidazoleglyceroL-phosphate dehydratase			SZUA-1235_36:c(13527..14120)	Histidine biosynthesis bifunctional protein HisB	K01693	K01693		K01089	K01693
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00647					08RJF@bactNOG,0QQJE@gproNOG,11HP1@NOG,1799F@proNOG	Protein of unknown function (DUF3581)			SZUA-1235_36:c(14186..14890)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00648	K07560	[EC:3.1.-.-]	dtd, DTD1	D-tyrosyl-tRNA(Tyr) deacylase	08YYA@bactNOG,0BCSB@bproNOG,17C5C@proNOG,COG1490@NOG	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)			SZUA-1235_36:c(14934..15383)	D-aminoacyl-tRNA deacylase	K07560	K07560		K07560	K07560
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00649	K01259	[EC:3.4.11.5]	pip	proline iminopeptidase	05EGK@bactNOG,0QIF9@gproNOG,0XPKQ@NOG,16PXW@proNOG	proline iminopeptidase			SZUA-1235_36:c(15380..16336)	Proline iminopeptidase	K01259	K01259		K01259	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00650	K06207		typA, bipA	GTP-binding protein	05CI3@bactNOG,0QIPQ@gproNOG,16Q3K@proNOG,COG1217@NOG	gtp-binding protein typa			SZUA-1235_36:c(16317..17870)	GTP-binding protein TypA/BipA	K06207	K06207		K06207	K06207
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00651	K03786	[EC:4.2.1.10]	aroQ, qutE	3-dehydroquinate dehydratase II	08Z38@bactNOG,0QQZQ@gproNOG,17C89@proNOG,COG0757@NOG	Catalyzes a trans-dehydration via an enolate intermediate (By similarity)			SZUA-1235_37:120..371	3-dehydroquinate dehydratase 1	K03786	K03786		K03786	K03786
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00652	K02160		accB, bccP	acetyl-CoA carboxylase biotin carboxyl carrier protein	05KM4@bactNOG,0QS6K@gproNOG,17C5M@proNOG,COG0511@NOG	Acetyl-CoA carboxylase, biotin carboxyl carrier protein			SZUA-1235_37:413..859	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	K02160	K02160	K02160	K02160	K20140
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00653	K01961	[EC:6.4.1.2][EC:6.3.4.14]	accC	acetyl-CoA carboxylase, biotin carboxylase subunit	05CER@bactNOG,0QHQI@gproNOG,16PUC@proNOG,COG0439@NOG	acetyl-CoA carboxylase biotin carboxylase			SZUA-1235_37:868..2211	Biotin carboxylase	K01961	K01961	K01961	K01959	K20141
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00654	K02687	[EC:2.1.1.-]	prmA	ribosomal protein L11 methyltransferase	05F59@bactNOG,0QKFZ@gproNOG,16TP2@proNOG,COG2264@NOG	Methylates ribosomal protein L11 (By similarity)			SZUA-1235_37:2234..3121	Ribosomal protein L11 methyltransferase	K02687	K02687		K02687	K02687
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00655					08VGZ@bactNOG,0QRRB@gproNOG,11N2E@NOG,17C2M@proNOG	Mj0042 family finger-like			SZUA-1235_37:3127..3921	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00656	K05540	[EC:1.-.-.-]	dusB	tRNA-dihydrouridine synthase B	05CEH@bactNOG,0QIH1@gproNOG,16PTY@proNOG,COG0042@NOG	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)			SZUA-1235_37:4104..5093	putative tRNA-dihydrouridine synthase	K05540	K05540		K05540	K05545
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00657	K06177	[EC:5.4.99.28][EC:5.4.99.29]	rluA	tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase	05D3G@bactNOG,16QKU@proNOG,COG0564@NOG	Pseudouridine synthase			SZUA-1235_38:218..1909	Ribosomal large subunit pseudouridine synthase A	K06177	K06177		K06177	K15454
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00658	K00569	[EC:2.1.1.67]	TPMT, tpmT	thiopurine S-methyltransferase	05FQ6@bactNOG,0QRR0@gproNOG,11GNF@NOG,17CGK@proNOG	thiopurine methyltransferase			SZUA-1235_38:1986..2663	Thiopurine S-methyltransferase	K00569	K00569		K00569	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00659					07V6F@bactNOG,0QUDN@gproNOG,0ZW1I@NOG,16WXH@proNOG	Dicarboxylate transport			SZUA-1235_38:2677..4968	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00660					0689M@bactNOG,0D14V@chlNOG,0XVQC@NOG	Inherit from bactNOG: (LipO)protein			SZUA-1235_38:5056..5256	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00661	K09978		K09978	uncharacterized protein	05WXT@bactNOG,0QW1D@gproNOG,17KXX@proNOG,COG3784@NOG	Conserved protein			SZUA-1235_38:5278..5631	hypothetical protein	K09978	K09978		K09978	K09978
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00662	K03321		TC.SULP	sulfate permease, SulP family	05CHH@bactNOG,0FJ6S@cyaNOG,COG0659@NOG	Sulfate transporter			SZUA-1235_38:c(5668..7335)	Bicarbonate transporter BicA	K03321	K03321		K03321	K03321
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00663	K01733	[EC:4.2.3.1]	thrC	threonine synthase	07QID@bactNOG,0GBBM@delNOG,0I2PD@eproNOG,16UV6@proNOG,COG0498@NOG	Threonine synthase			SZUA-1235_38:c(7637..9106)	Threonine synthase	K01733	K01733		K01733	K15527
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00664	K05811		yfiM	putative lipoprotein	05T42@bactNOG,0QUHJ@gproNOG,17IEE@proNOG,COG5544@NOG	(Lipo)protein			SZUA-1235_38:c(9292..9582)	hypothetical protein	K05811			K05811	K05811
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00665	K02557		motB	chemotaxis protein MotB	01YW9@aproNOG,08ZG0@bactNOG,17A17@proNOG,COG2885@NOG	ompa motb domain protein			SZUA-1235_38:9672..10352	putative lipoprotein YiaD	K02557			K02557	K21218
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00666	K00799	[EC:2.5.1.18]	GST, gst	glutathione S-transferase	08RX8@bactNOG,0F07Z@cloNOG,0NV10@firmNOG,COG0625@NOG	Glutathione S-transferase			SZUA-1235_38:10366..10980	Glutathione S-transferase GST-4.5	K00799	K00799	K00799	K00799	K21106
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00667									SZUA-1235_38:c(11039..11632)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00668	K14540		rbgA	ribosome biogenesis GTPase A	05C9W@bactNOG,0QK87@gproNOG,16PNF@proNOG,COG1161@NOG	Required for a late step of 50S ribosomal subunit assembly. Has GTPase activity (By similarity)			SZUA-1235_38:c(11843..12760)	Ribosome biogenesis GTPase A	K14540	K14540	K19828	K14540	K19829
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00669					08KZ2@bactNOG,0QN6B@gproNOG,0XQI5@NOG,16RM4@proNOG	response regulator			SZUA-1235_38:12937..14544	Chemotaxis protein CheY					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00670					090JQ@bactNOG,0QQ8F@gproNOG,11IM5@NOG,177YH@proNOG	Histidine kinase			SZUA-1235_38:14566..15234	Sensor histidine kinase ResE					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00671									SZUA-1235_38:c(15250..15441)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00672	K03322		mntH	manganese transport protein	07R1U@bactNOG,0GBN2@delNOG,16TEG@proNOG,COG1914@NOG	Natural resistance-associated macrophage protein			SZUA-1235_38:15629..16876	hypothetical protein	K03322			K03322	K12346
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00673	K03649	[EC:3.2.2.28]	mug	double-stranded uracil-DNA glycosylase	08YY9@bactNOG,0QUJF@gproNOG,17CCT@proNOG,COG3663@NOG	T U mismatch-specific DNA glycosylase			SZUA-1235_38:16864..17403	hypothetical protein	K03649			K03649	K20813
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00674	K04772	[EC:3.4.21.-]	degQ, hhoA	serine protease DegQ	05C0H@bactNOG,0QHTY@gproNOG,16PJ0@proNOG,COG0265@NOG	protease			SZUA-1235_38:c(17576..18949)	Periplasmic pH-dependent serine endoprotease DegQ	K04772	K04772		K04771	K08372
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00675	K05710		hcaC	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component	05VQD@bactNOG,0BEAJ@bproNOG,17FBH@proNOG,COG2146@NOG	Ferredoxin			SZUA-1235_38:19020..19334	Toluene 1,2-dioxygenase system ferredoxin subunit	K05710	K05710		K05710	K18248
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00676	K00766	[EC:2.4.2.18]	trpD	anthranilate phosphoribosyltransferase	07VRU@bactNOG,0R8EK@gproNOG,16V73@proNOG,COG0547@NOG	glycosyl transferase family			SZUA-1235_38:19345..20466	putative protein YbiB	K00766			K00766	K13497
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00677									SZUA-1235_38:20627..20785	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00678	K00001	[EC:1.1.1.1]	E1.1.1.1, adh	alcohol dehydrogenase	05D3Z@bactNOG,0QIM7@gproNOG,16QM4@proNOG,COG0604@NOG	alcohol dehydrogenase			SZUA-1235_38:c(21030..22037)	putative acrylyl-CoA reductase AcuI	K00001			K00001	K21839
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00679	K01679	[EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II	05C9Q@bactNOG,0QHQ4@gproNOG,16PGI@proNOG,COG0114@NOG	fumarate hydratase Class II			SZUA-1235_38:c(22034..23425)	Fumarate hydratase class II	K01679	K01679	K01679	K01679	K01679
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00680	K00658	[EC:2.3.1.61]	DLST, sucB	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	05C7S@bactNOG,0B7PM@bproNOG,16PK1@proNOG,COG0508@NOG	Dihydrolipoamide succinyltransferase			SZUA-1235_38:c(23475..24665)	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	K00658	K00658	K00658	K00627	K00658
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00681	K00164	[EC:1.2.4.2]	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component	05C7P@bactNOG,0QHRE@gproNOG,16PJV@proNOG,COG0567@NOG	2-oxoglutarate dehydrogenase e1 component			SZUA-1235_38:c(24675..27497)	2-oxoglutarate dehydrogenase E1 component	K00164	K00164	K00164	K00164	K01616
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00682									SZUA-1235_38:27655..27945	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00683	K13993		HSP20	HSP20 family protein	05VN1@bactNOG,0B9R5@bproNOG,17JY7@proNOG,COG0071@NOG	heat shock protein (HSP20)			SZUA-1235_38:c(28003..28434)	Spore protein SP21	K13993	K13993		K13993	K13993
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00684	K01011	[EC:2.8.1.1][EC:2.8.1.2]	TST, MPST, sseA	thiosulfate/3-mercaptopyruvate sulfurtransferase	05KHC@bactNOG,0QI15@gproNOG,16RF4@proNOG,COG2897@NOG	sulfurtransferase			SZUA-1235_38:c(28558..29376)	Thiosulfate sulfurtransferase	K01011	K01011		K01011	K21028
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00685	K07003		K07003	uncharacterized protein	07SPK@bactNOG,0QIQ6@gproNOG,16SM7@proNOG,COG1033@NOG	exporter of the RND superfamily			SZUA-1235_38:29540..31780	Acyltrehalose exporter MmpL10	K07003	K07003		K07003	K20470
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00686	K22027	[EC:1.14.13.235]	iacA	indole-3-acetate monooxygenase	07U47@bactNOG,0FKPR@cyaNOG,COG1960@NOG	acyl-Coa dehydrogenase			SZUA-1235_38:31771..33564	Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase	K22027				K22027
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00687	K01071	[EC:3.1.2.21]	MCH	medium-chain acyl-[acyl-carrier-protein] hydrolase	08VTW@bactNOG,0FMRS@cyaNOG,COG3208@NOG	Thioesterase domain			SZUA-1235_38:33567..34310	Linear gramicidin dehydrogenase LgrE	K01071			K01071	K21791
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00688	K04788		mbtB	mycobactin phenyloxazoline synthetase	05C0W@bactNOG,COG0318@NOG,COG1020@NOG	non-ribosomal peptide synthetase			SZUA-1235_38:c(34307..43300)	Phenyloxazoline synthase MbtB	K04788		K04788		K21228
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00689	K21901		dctR	LuxR family transcriptional regulator, dicarboxylate transport regulator	05X8V@bactNOG,0BFY5@bproNOG,17M67@proNOG,COG2197@NOG	luxR family transcriptional regulator			SZUA-1235_38:44029..44793	Oxygen regulatory protein NreC	K21901				K21901
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00690	K07491		K07491	putative transposase	COG1943@NOG	transposase			SZUA-1235_38:c(44899..45678)	hypothetical protein	K07491	K07491			K07491
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00691					07EWU@bactNOG,0QP2S@gproNOG,0Y1GF@NOG,171GH@proNOG				SZUA-1235_38:c(45805..47052)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00692					08M1M@bactNOG,0QNAZ@gproNOG,0XQME@NOG,16TGW@proNOG	outer membrane lipoprotein-sorting protein			SZUA-1235_38:c(47144..47920)	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00693	K07003		K07003	uncharacterized protein	07SPK@bactNOG,16SM7@proNOG,COG1033@NOG	of the rnd superfamily			SZUA-1235_38:c(47922..50207)	Putative membrane protein YdgH	K07003	K07003		K07003	K20470
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00694	K01081	[EC:3.1.3.5]	E3.1.3.5	5'-nucleotidase	05CGH@bactNOG,16PX0@proNOG,COG0737@NOG	5'-nucleotidase			SZUA-1235_38:c(50254..52080)	Mannosylglucosyl-3-phosphoglycerate phosphatase	K01081			K01081	K17224
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00695	K09004		K09004	uncharacterized protein	08CF2@bactNOG,0BHEB@bproNOG,16ZZU@proNOG,COG1416@NOG	DsrE/DsrF-like family			SZUA-1235_38:c(52117..52539)	hypothetical protein	K09004	K09004		K09004	K09004
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00696	K03321		TC.SULP	sulfate permease, SulP family	07RBZ@bactNOG,0QM4V@gproNOG,16S4X@proNOG,COG0659@NOG	Sulfate transporter			SZUA-1235_38:c(52568..54247)	putative sulfate transporter	K03321	K03321		K03321	K03321
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00697	K19713	[EC:1.8.2.2]	tsdA	thiosulfate dehydrogenase	05NQN@bactNOG,0B7KW@bproNOG,16TRG@proNOG,COG3258@NOG	Cytochrome c			SZUA-1235_38:c(54247..55161)	Thiosulfate dehydrogenase	K19713	K19713	K19713	K19713	K19713
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00698	K17230		fccA	cytochrome subunit of sulfide dehydrogenase	090Y2@bactNOG,0QT1N@gproNOG,17CEN@proNOG,COG2863@NOG	cytochrome C			SZUA-1235_38:c(55169..55957)	Cytochrome c4	K17230				K17230
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00699	K07112		K07112	uncharacterized protein	05KFG@bactNOG,0QTM0@gproNOG,17FMM@proNOG,COG2391@NOG	YeeE YedE family protein			SZUA-1235_38:c(55957..56436)	hypothetical protein	K07112	K07112		K07112	K07112
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00700	K07112		K07112	uncharacterized protein	05MD1@bactNOG,0GFJF@delNOG,0HHF5@dproNOG,17G3Q@proNOG,COG2391@NOG	YeeE YedE family protein			SZUA-1235_38:c(56436..56867)	hypothetical protein	K07112	K07112		K07112	K07112
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00701	K07112		K07112	uncharacterized protein	01Z0Y@aproNOG,05KFG@bactNOG,17FMM@proNOG,COG2391@NOG	YeeE YedE family protein			SZUA-1235_38:c(57047..57661)	hypothetical protein	K07112	K07112		K07112	K07112
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00702	K07112		K07112	uncharacterized protein	05MD1@bactNOG,0GFJF@delNOG,0HHF5@dproNOG,17G3Q@proNOG,COG2391@NOG	YeeE YedE family protein			SZUA-1235_38:c(57661..58092)	hypothetical protein	K07112	K07112		K07112	K07112
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00704	K12543		lapE	outer membrane protein, adhesin transport system	07GY7@bactNOG,0QPA8@gproNOG,174QR@proNOG,COG1538@NOG	type I secretion outer membrane protein			SZUA-1235_39:10..573	Outer membrane protein TolC	K12543	K12543		K12543	K19593
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00705	K12541		lapB	ATP-binding cassette, subfamily C, bacterial LapB	08JJA@bactNOG,0BRQV@bproNOG,173BW@proNOG,COG2274@NOG	ABC transporter			SZUA-1235_39:591..2729	Alpha-hemolysin translocation ATP-binding protein HlyB	K12541	K12541		K06147	K20386
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00706	K12542		lapC	membrane fusion protein, adhesin transport system	05C42@bactNOG,0QHYA@gproNOG,0XNME@NOG,16PFI@proNOG	Type I secretion membrane fusion protein			SZUA-1235_39:2726..4048	Type I secretion system membrane fusion protein PrsE	K12542	K12542		K02022	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00707					08VQ1@bactNOG,0GF5H@delNOG,0HG82@dproNOG,17ASD@proNOG,COG3672@NOG	Transglutaminase family protein cysteine peptidase BTLCP			SZUA-1235_39:4063..4731	hypothetical protein					
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00708	K03803		rseC	sigma-E factor negative regulatory protein RseC	05WMJ@bactNOG,0QVT2@gproNOG,17K77@proNOG,COG3086@NOG	Positive regulator of sigma E, RseC MucC			SZUA-1235_40:c(753..1199)	Protein RseC	K03803	K03803		K03803	K03803
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00709	K03613		rnfE	electron transport complex protein RnfE	05DZB@bactNOG,0QJBR@gproNOG,16RQ3@proNOG,COG4660@NOG	Required for nitrogen fixation. May be part of a membrane complex functioning as an intermediate in the electron transport to nitrogenase (By similarity)			SZUA-1235_40:c(1202..1897)	Electron transport complex subunit RnfE	K03613	K03613	K03613	K03613	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00710	K03612		rnfG	electron transport complex protein RnfG	08UQQ@bactNOG,0QQTV@gproNOG,17A0R@proNOG,COG4659@NOG	Electron transport complex			SZUA-1235_40:c(1915..2589)	Electron transport complex subunit RsxG	K03612	K03612		K03612	K21559
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00711	K03614		rnfD	electron transport complex protein RnfD	05D6A@bactNOG,0QIT0@gproNOG,16PAZ@proNOG,COG4658@NOG	Required for nitrogen fixation. May be part of a membrane complex functioning as an intermediate in the electron transport to nitrogenase (By similarity)			SZUA-1235_40:c(2576..3634)	Electron transport complex subunit RsxD	K03614	K03614		K03614	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00712	K03615		rnfC	electron transport complex protein RnfC	07QTR@bactNOG,0QJ41@gproNOG,16QFV@proNOG,COG4656@NOG	Required for nitrogen fixation. May be part of a membrane complex functioning as an intermediate in the electron transport to nitrogenase (By similarity)			SZUA-1235_40:c(3634..5190)	Electron transport complex subunit RsxC	K03615	K03615		K03615	
Chromatiales_bacterium_SZUA-1235|SZUA-1235_00713	K03616		rnfB	electron transport complex protein RnfB	08R3D@bactNOG,0B903@bproNOG,177Q6@proNOG,COG2878@NOG	electron transport complex, RnfABCDGE type, B subunit			SZUA-1235_40:c(5187..5741)	Electron transport complex subunit RsxB	K03616	K03616		K03616	K03616
