#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1430|SZUA-1430_00001					08R5T@bactNOG,11FHM@NOG	secreted protein			SZUA-1430_1:4..1179	Putative lipoprotein YerB					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00505	K15888	[EC:2.5.1.89]	uppS, cpdS	tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific]	0KS3W@eurNOG,1CEIN@thermNOG,COG0020@NOG,arCOG01532@arNOG	Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with geranylgeranyl diphosphate (GGPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30E,34E,38E)-undecaprenyl diphosphate (tritrans,heptacis-UPP). It is probably the precursor of glycosyl carrier lipids (By similarity)			SZUA-1430_195:2875..3585	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	K15888	K15888		K00806	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00506	K14656	[EC:2.7.7.2]	ribL	FAD synthetase	0KU2R@eurNOG,1CF0H@thermNOG,COG0432@NOG,arCOG04214@arNOG	Uncharacterised protein family UPF0047			SZUA-1430_195:3657..4094	hypothetical protein	K14656			K14656	
Candidatus_bacterium_SZUA-1430|SZUA-1430_00507									SZUA-1430_196:c(58..1527)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00508									SZUA-1430_196:1637..2098	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00510	K20640		ARHGAP19	Rho GTPase-activating protein 19					SZUA-1430_196:c(2352..2663)	hypothetical protein	K20640	K20640			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00511									SZUA-1430_197:c(493..747)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00512	K22736				01TNN@aproNOG,07WJ3@bactNOG,16VPH@proNOG,COG1814@NOG	Integral membrane protein			SZUA-1430_197:c(836..1585)	hypothetical protein	K22736	K22736	K22736		
Candidatus_bacterium_SZUA-1430|SZUA-1430_00513	K02902		RP-L28, MRPL28, rpmB	large subunit ribosomal protein L28					SZUA-1430_197:c(1673..1906)	50S ribosomal protein L28	K02902	K02902			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00514	K02913		RP-L33, MRPL33, rpmG	large subunit ribosomal protein L33					SZUA-1430_197:c(1952..2125)	50S ribosomal protein L33	K02913	K02913			
Candidatus_bacterium_SZUA-1430|SZUA-1430_00515	K07478		ycaJ	putative ATPase	COG2256@NOG	Recombination factor protein RarA			SZUA-1430_197:c(2530..3801)	Replication-associated recombination protein A	K07478	K07478	K07478	K07478	K07478
Candidatus_bacterium_SZUA-1430|SZUA-1430_00516					0760H@bactNOG,0ZFGQ@NOG				SZUA-1430_198:c(2081..2374)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00517	K02335	[EC:2.7.7.7]	polA	DNA polymerase I	05C2M@bactNOG,0NDWK@firmNOG,COG0258@NOG,COG0749@NOG	DNA polymerase			SZUA-1430_199:56..1951	DNA polymerase I	K02335	K02335		K02335	K02335
Candidatus_bacterium_SZUA-1430|SZUA-1430_00518									SZUA-1430_199:c(2100..2423)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00519									SZUA-1430_200:c(1673..1996)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00521	K01870	[EC:6.1.1.5]	IARS, ileS	isoleucyl-tRNA synthetase	05C07@bactNOG,COG0060@NOG	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)			SZUA-1430_202:130..1275	Isoleucine--tRNA ligase	K01870	K01870		K01870	K01870
Candidatus_bacterium_SZUA-1430|SZUA-1430_00522	K03584		recO	DNA repair protein RecO (recombination protein O)	06DBE@bactNOG,0D2GY@chloNOG,0G79X@dehNOG,COG1381@NOG	Involved in DNA repair and RecF pathway recombination (By similarity)			SZUA-1430_202:1706..2434	DNA repair protein RecO	K03584	K03584		K03584	K03584
Candidatus_bacterium_SZUA-1430|SZUA-1430_00523	K06941	[EC:2.1.1.192]	rlmN	23S rRNA (adenine2503-C2)-methyltransferase	05C55@bactNOG,COG0820@NOG	Specifically methylates position 2 of adenine 2503 in 23S rRNA and position 2 of adenine 37 in tRNAs			SZUA-1430_203:40..615	putative dual-specificity RNA methyltransferase RlmN	K06941	K06941		K06941	K06941
Candidatus_bacterium_SZUA-1430|SZUA-1430_00524									SZUA-1430_203:716..922	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00525									SZUA-1430_203:c(1277..1459)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00526	K17218	[EC:1.8.5.4]	sqr	sulfide:quinone oxidoreductase	07RSJ@bactNOG,0GBA9@delNOG,0I33R@eproNOG,16UUM@proNOG,COG0446@NOG	Sulfide-quinone reductase			SZUA-1430_204:39..371	hypothetical protein	K17218	K17218		K17218	K21833
Candidatus_bacterium_SZUA-1430|SZUA-1430_00527					06CQB@bactNOG,0GIFP@delNOG,0I4N1@eproNOG,0Y49M@NOG,17W2U@proNOG				SZUA-1430_204:394..558	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00528	K01462	[EC:3.5.1.88]	PDF, def	peptide deformylase	05HWP@bactNOG,0GF2U@delNOG,0I3XP@eproNOG,17E0N@proNOG,COG0242@NOG	peptide deformylase			SZUA-1430_204:606..1433	Peptide deformylase 1	K01462	K01462			K01462
Candidatus_bacterium_SZUA-1430|SZUA-1430_00529	K03696		clpC	ATP-dependent Clp protease ATP-binding subunit ClpC	05C2Z@bactNOG,0ND4R@firmNOG,COG0542@NOG	ATP-dependent clp protease, ATP-binding subunit			SZUA-1430_205:55..1956	ATP-dependent Clp protease ATP-binding subunit ClpC	K03696	K03696		K03696	K11907
Candidatus_bacterium_SZUA-1430|SZUA-1430_00530					07WJJ@bactNOG,0QSW3@gproNOG,0XRQ3@NOG,17696@proNOG	glycosyl transferase group 1			SZUA-1430_206:45..446	Putative glycosyltransferase EpsD					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00531					COG2244@NOG,arCOG02209@arNOG	Polysaccharide biosynthesis protein			SZUA-1430_206:643..1947	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00532	K21137		triB	membrane fusion protein, multidrug efflux system	0807B@bactNOG,0ESNR@cloNOG,0NIDF@firmNOG,COG0845@NOG	efflux transporter, rnd family, mfp subunit			SZUA-1430_207:c(33..1217)	Macrolide export protein MacA	K21137				K21137
Candidatus_bacterium_SZUA-1430|SZUA-1430_00533									SZUA-1430_207:c(1266..1760)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00534									SZUA-1430_208:104..346	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00535	K01872	[EC:6.1.1.7]	AARS, alaS	alanyl-tRNA synthetase	05CIM@bactNOG,1AMMP@spiNOG,COG0013@NOG	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)			SZUA-1430_208:343..2343	Alanine--tRNA ligase	K01872	K01872	K01872	K01872	K01872
Candidatus_bacterium_SZUA-1430|SZUA-1430_00536									SZUA-1430_209:c(226..570)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00537									SZUA-1430_209:c(630..776)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00538	K17081		PHB2	prohibitin 2	07TTG@bactNOG,09BYJ@bctoNOG,1AFVT@sphNOG,COG0330@NOG	Band 7 protein			SZUA-1430_209:c(826..1872)	hypothetical protein	K17081				K17081
Candidatus_bacterium_SZUA-1430|SZUA-1430_00539									SZUA-1430_209:c(1954..2244)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00540					1CBT5@thaNOG,COG1361@NOG,arCOG02080@arNOG	Inherit from arCOG: S-layer domain-like protein			SZUA-1430_210:190..477	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00541									SZUA-1430_210:c(1271..1492)	hypothetical protein					
Candidatus_bacterium_SZUA-1430|SZUA-1430_00542	K03587	[EC:3.4.16.4]	ftsI	cell division protein FtsI (penicillin-binding protein 3)	05CJN@bactNOG,COG0768@NOG	penicillin-binding protein			SZUA-1430_211:22..1605	Stage V sporulation protein D	K03587			K03587	K21468
Candidatus_bacterium_SZUA-1430|SZUA-1430_00543									SZUA-1430_211:c(1652..1879)	hypothetical protein					
