#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1403|SZUA-1403_00001	K02120		ATPVD, ntpD, atpD	V/A-type H+/Na+-transporting ATPase subunit D	05M56@bactNOG,0EQND@cloNOG,0NFD9@firmNOG,COG1394@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1403_1:c(221..877)	V-type sodium ATPase subunit D	K02120	K02120	K02120	K02120	K02149
Candidatus_bacterium_SZUA-1403|SZUA-1403_00285									SZUA-1403_37:c(13741..13923)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00286	K00013	[EC:1.1.1.23]	hisD	histidinol dehydrogenase	05CEK@bactNOG,COG0141@NOG	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine (By similarity)			SZUA-1403_37:c(13954..15276)	Histidinol dehydrogenase	K00013	K00013	K00013	K00013	K15509
Candidatus_bacterium_SZUA-1403|SZUA-1403_00287	K00817	[EC:2.6.1.9]	hisC	histidinol-phosphate aminotransferase	055D6@bacteNOG,05CIH@bactNOG,099R6@bctoNOG,COG0079@NOG	Imidazole acetol-phosphate transaminase			SZUA-1403_37:c(15652..16782)	Histidinol-phosphate aminotransferase	K00817	K00817		K00817	K04720
Candidatus_bacterium_SZUA-1403|SZUA-1403_00288					05KGF@bactNOG,0EUBE@cloNOG,0NKN8@firmNOG,COG4496@NOG	protein, YerC YecD			SZUA-1403_37:c(16767..17060)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00289									SZUA-1403_37:c(17127..17393)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00290	K02563	[EC:2.4.1.227]	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	05DVQ@bactNOG,1AMC0@spiNOG,COG0707@NOG	Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II) (By similarity)			SZUA-1403_37:c(17581..18675)	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	K02563	K02563		K02563	K03429
Candidatus_bacterium_SZUA-1403|SZUA-1403_00291	K03588		ftsW, spoVE	cell division protein FtsW	04STN@bacNOG,05CNI@bactNOG,0NDTA@firmNOG,COG0772@NOG	cell division protein			SZUA-1403_37:c(18635..19957)	putative peptidoglycan glycosyltransferase FtsW	K03588	K03588		K03588	K05837
Candidatus_bacterium_SZUA-1403|SZUA-1403_00292									SZUA-1403_38:313..462	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00293	K01951	[EC:6.3.5.2]	guaA, GMPS	GMP synthase (glutamine-hydrolysing)	05CM0@bactNOG,COG0518@NOG,COG0519@NOG	Catalyzes the synthesis of GMP from XMP (By similarity)			SZUA-1403_38:558..2423	GMP synthase [glutamine-hydrolyzing]	K01951	K01951	K01951	K01951	K01951
Candidatus_bacterium_SZUA-1403|SZUA-1403_00294	K03631		recN	DNA repair protein RecN (Recombination protein N)	0563N@bacteNOG,05C4F@bactNOG,09A47@bctoNOG,COG0497@NOG	May be involved in recombinational repair of damaged DNA (By similarity)			SZUA-1403_38:2452..4044	DNA repair protein RecN	K03631	K03631		K03631	K03631
Candidatus_bacterium_SZUA-1403|SZUA-1403_00295	K03797	[EC:3.4.21.102]	E3.4.21.102, prc, ctpA	carboxyl-terminal processing protease	05CN1@bactNOG,0ENW5@cloNOG,0NDR0@firmNOG,COG0793@NOG	Carboxyl-terminal protease			SZUA-1403_39:546..2234	Carboxy-terminal processing protease CtpB	K03797	K03797		K03797	K03797
Candidatus_bacterium_SZUA-1403|SZUA-1403_00296	K03555		mutS	DNA mismatch repair protein MutS	05D86@bactNOG,0QF0Y@fusoNOG,COG0249@NOG	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)			SZUA-1403_39:c(2424..3866)	DNA mismatch repair protein MutS	K03555	K03555		K03555	K03555
Candidatus_bacterium_SZUA-1403|SZUA-1403_00297					08TZ0@bactNOG,0Z3TK@NOG	Protein of unknown function (DUF1625)			SZUA-1403_39:c(3835..4914)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00298	K02343	[EC:2.7.7.7]	dnaX	DNA polymerase III subunit gamma/tau	05C6E@bactNOG,1CFGW@therNOG,COG2812@NOG	DNA polymerase III, subunits gamma and tau			SZUA-1403_39:c(4926..6275)	DNA polymerase III subunit tau	K02343	K02343		K01071	K02343
Candidatus_bacterium_SZUA-1403|SZUA-1403_00299	K00027	[EC:1.1.1.38]	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating)	05C6K@bactNOG,0ENP0@cloNOG,0NDMR@firmNOG,COG0281@NOG	Malic enzyme			SZUA-1403_40:109..741	NAD-dependent malic enzyme	K00027	K00027		K00027	K00029
Candidatus_bacterium_SZUA-1403|SZUA-1403_00301									SZUA-1403_40:c(970..1125)	Formyltetrahydrofolate deformylase					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00302	K01174	[EC:3.1.31.1]	nuc	micrococcal nuclease	07Y9E@bactNOG,0ERSV@cloNOG,0NK7S@firmNOG,COG1525@NOG	nuclease			SZUA-1403_40:c(1171..1803)	Thermonuclease	K01174	K01174		K01174	K16561
Candidatus_bacterium_SZUA-1403|SZUA-1403_00303	K02426		sufE	cysteine desulfuration protein SufE	05P9C@bactNOG,09FH3@bctoNOG,0P9S8@flaNOG,COG2166@NOG	Fe-S metabolism associated			SZUA-1403_40:1893..2303	Cysteine desulfuration protein SufE	K02426	K02426		K02426	K07125
Candidatus_bacterium_SZUA-1403|SZUA-1403_00304	K00588	[EC:2.1.1.104]	E2.1.1.104	caffeoyl-CoA O-methyltransferase	08VQJ@bactNOG,0QFCV@fusoNOG,COG4122@NOG	caffeoyl-CoA O-methyltransferase			SZUA-1403_40:2314..2961	Protein-L-isoaspartate O-methyltransferase	K00588			K00588	K21189
Candidatus_bacterium_SZUA-1403|SZUA-1403_00305	K03665		hflX	GTPase	05C1N@bactNOG,0EPUG@cloNOG,0NEK2@firmNOG,COG2262@NOG	GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)			SZUA-1403_40:3002..4366	GTPase HflX	K03665	K03665		K03665	K03665
Candidatus_bacterium_SZUA-1403|SZUA-1403_00306	K00767	[EC:2.4.2.19]	nadC, QPRT	nicotinate-nucleotide pyrophosphorylase (carboxylating)	0KS0U@eurNOG,1CE8T@thermNOG,COG0157@NOG,arCOG01482@arNOG	nicotinate-nucleotide pyrophosphorylase (EC 2.4.2.19)			SZUA-1403_40:4359..5315	Nicotinate-nucleotide pyrophosphorylase [carboxylating]	K00767	K00767		K00767	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00307	K03316		TC.CPA1	monovalent cation:H+ antiporter, CPA1 family	05EEQ@bactNOG,0QJV6@gproNOG,16QFF@proNOG,COG0025@NOG	Na H antiporter			SZUA-1403_40:5404..7452	Na(+)/H(+) antiporter NhaG	K03316	K03316		K03316	K03316
Candidatus_bacterium_SZUA-1403|SZUA-1403_00308									SZUA-1403_40:7595..7930	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00309									SZUA-1403_40:7946..8347	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00310	K02313		dnaA	chromosomal replication initiator protein	05CI4@bactNOG,0EPFQ@cloNOG,0NDJT@firmNOG,COG0593@NOG	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)			SZUA-1403_40:8460..9938	Chromosomal replication initiator protein DnaA	K02313	K02313		K02313	K10763
Candidatus_bacterium_SZUA-1403|SZUA-1403_00311	K02357		tsf, TSFM	elongation factor Ts	05CU7@bactNOG,09AI8@bctoNOG,0P7P0@flaNOG,COG0264@NOG	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)			SZUA-1403_40:9984..10898	Elongation factor Ts	K02357	K02357		K02357	K02357
Candidatus_bacterium_SZUA-1403|SZUA-1403_00312	K00793	[EC:2.5.1.9]	ribE, RIB5	riboflavin synthase	08R6K@bactNOG,09DPM@bctoNOG,0P9QJ@flaNOG,COG0307@NOG	riboflavin synthase, subunit alpha			SZUA-1403_40:c(10985..11536)	Riboflavin synthase	K00793	K00793		K00793	K00793
Candidatus_bacterium_SZUA-1403|SZUA-1403_00313	K00794	[EC:2.5.1.78]	ribH, RIB4	6,7-dimethyl-8-ribityllumazine synthase	08UTT@bactNOG,0QKRE@gproNOG,179XR@proNOG,COG0054@NOG	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity)			SZUA-1403_40:c(11544..11981)	6,7-dimethyl-8-ribityllumazine synthase	K00794	K00794		K00794	K00794
Candidatus_bacterium_SZUA-1403|SZUA-1403_00314	K03100	[EC:3.4.21.89]	lepB	signal peptidase I	01SZQ@aproNOG,05C3F@bactNOG,16PF2@proNOG,COG0681@NOG	Signal peptidase i			SZUA-1403_40:c(11981..12832)	Signal peptidase I S	K03100	K03100		K03100	K03100
Candidatus_bacterium_SZUA-1403|SZUA-1403_00315									SZUA-1403_40:12958..13236	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00316	K02884		RP-L19, MRPL19, rplS	large subunit ribosomal protein L19	08YY1@bactNOG,0I7AX@eryNOG,0NJ7M@firmNOG,COG0335@NOG	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)			SZUA-1403_40:13260..13649	50S ribosomal protein L19	K02884	K02884		K02884	K02884
Candidatus_bacterium_SZUA-1403|SZUA-1403_00317									SZUA-1403_40:13769..15565	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00318	K07460		yraN	putative endonuclease	05VFF@bactNOG,0EVEE@cloNOG,0NNHE@firmNOG,COG0792@NOG	UPF0102 protein			SZUA-1403_40:c(15582..15968)	hypothetical protein	K07460	K07460		K07460	K07460
Candidatus_bacterium_SZUA-1403|SZUA-1403_00319	K04763		xerD	integrase/recombinase XerD	04RNI@bacNOG,05C13@bactNOG,0ND74@firmNOG,COG4974@NOG	Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids (By similarity)			SZUA-1403_40:c(15975..16919)	Tyrosine recombinase XerD	K04763	K04763		K03733	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00320	K02434	[EC:6.3.5.6][EC:6.3.5.7]	gatB, PET112	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B	05CHT@bactNOG,0EP8I@cloNOG,0NDP3@firmNOG,COG0064@NOG	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)			SZUA-1403_40:c(16934..18364)	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	K02434	K02434		K02434	K02434
Candidatus_bacterium_SZUA-1403|SZUA-1403_00321									SZUA-1403_40:c(18412..18909)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00322									SZUA-1403_40:c(18942..22283)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00323									SZUA-1403_41:82..5841	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00325	K03711		fur, zur, furB	Fur family transcriptional regulator, ferric uptake regulator	081VT@bactNOG,COG0735@NOG	regulator Fur family			SZUA-1403_42:591..1010	Transcriptional regulator PerR	K03711			K03711	K09826
Candidatus_bacterium_SZUA-1403|SZUA-1403_00326	K09815		znuA	zinc transport system substrate-binding protein	05DSE@bactNOG,0NEII@firmNOG,COG0803@NOG	periplasmic solute binding protein			SZUA-1403_42:1071..2054	High-affinity zinc uptake system binding-protein ZnuA	K09815	K09815	K09815	K01783	K19975
Candidatus_bacterium_SZUA-1403|SZUA-1403_00327	K09817	[EC:3.6.3.-]	znuC	zinc transport system ATP-binding protein	05FDK@bactNOG,0QNBS@gproNOG,16S2V@proNOG,COG1121@NOG	Part of the ABC transporter complex ZnuABC involved in zinc import. Responsible for energy coupling to the transport system (By similarity)			SZUA-1403_42:2045..2752	Zinc import ATP-binding protein ZnuC	K09817	K09817		K02074	K19973
Candidatus_bacterium_SZUA-1403|SZUA-1403_00328	K09816		znuB	zinc transport system permease protein	04SN6@bacNOG,05FAV@bactNOG,0NEGC@firmNOG,COG1108@NOG	ABC transporter			SZUA-1403_42:2776..3570	High-affinity zinc uptake system membrane protein ZnuB	K09816	K09816		K09816	K19976
Candidatus_bacterium_SZUA-1403|SZUA-1403_00329	K00996	[EC:2.7.8.6]	rfbP	undecaprenyl-phosphate galactose phosphotransferase	05D3Q@bactNOG,0EPF9@cloNOG,0NDSV@firmNOG,COG2148@NOG	Exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase			SZUA-1403_43:2121..3344	hypothetical protein	K00996			K00996	K21303
Candidatus_bacterium_SZUA-1403|SZUA-1403_00330									SZUA-1403_43:c(3341..4717)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00331									SZUA-1403_43:c(4720..5931)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00332					068F2@bactNOG,0NRYX@firmNOG,0XW3C@NOG	Inherit from bactNOG: Conserved hypothetical, protein			SZUA-1403_43:c(5964..8558)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00333	K07133		K07133	uncharacterized protein	07R22@bactNOG,09AV8@bctoNOG,COG1373@NOG	aaa ATPase			SZUA-1403_44:c(5..997)	hypothetical protein	K07133	K07133		K07133	K07133
Candidatus_bacterium_SZUA-1403|SZUA-1403_00334	K03100	[EC:3.4.21.89]	lepB	signal peptidase I	04TUH@bacNOG,05C3F@bactNOG,0NMG4@firmNOG,COG0681@NOG	signal peptidase i			SZUA-1403_44:1250..1852	Signal peptidase I T	K03100	K03100		K03100	K03100
Candidatus_bacterium_SZUA-1403|SZUA-1403_00335	K03664		smpB	SsrA-binding protein	08UH4@bactNOG,0I7EJ@eryNOG,0NI29@firmNOG,COG0691@NOG	Binds specifically to the SsrA RNA (tmRNA) and is required for stable association of SsrA with ribosomes (By similarity)			SZUA-1403_44:1878..2327	SsrA-binding protein	K03664	K03664		K03664	K03664
Candidatus_bacterium_SZUA-1403|SZUA-1403_00336	K01887	[EC:6.1.1.19]	RARS, argS	arginyl-tRNA synthetase	0558J@bacteNOG,05C75@bactNOG,099VM@bctoNOG,COG0018@NOG	arginyL-tRNA synthetase			SZUA-1403_45:46..690	Arginine--tRNA ligase	K01887	K01887		K01887	K01887
Candidatus_bacterium_SZUA-1403|SZUA-1403_00337	K07090		K07090	uncharacterized protein	07XZN@bactNOG,09B07@bctoNOG,0P8K7@flaNOG,COG0730@NOG	Sulfite exporter TauE/SafE			SZUA-1403_45:c(706..1434)	hypothetical protein	K07090			K07090	K07090
Candidatus_bacterium_SZUA-1403|SZUA-1403_00338	K01885	[EC:6.1.1.17]	EARS, gltX	glutamyl-tRNA synthetase	05C20@bactNOG,0EP04@cloNOG,0NDF1@firmNOG,COG0008@NOG	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)			SZUA-1403_45:c(1425..2924)	Glutamate--tRNA ligase	K01885	K01885		K01885	K09698
Candidatus_bacterium_SZUA-1403|SZUA-1403_00339	K02990		RP-S6, MRPS6, rpsF	small subunit ribosomal protein S6	080B9@bactNOG,09FKJ@bctoNOG,1AGXU@sphNOG,COG0360@NOG	Binds together with S18 to 16S ribosomal RNA (By similarity)			SZUA-1403_46:c(13..450)	30S ribosomal protein S6	K02990	K02990		K02990	K02990
Candidatus_bacterium_SZUA-1403|SZUA-1403_00340	K02897		RP-L25, rplY	large subunit ribosomal protein L25	07TVT@bactNOG,0D366@chloNOG,COG1825@NOG	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance (By similarity)			SZUA-1403_46:c(611..1216)	General stress protein CTC	K02897	K02897		K02897	K02897
Candidatus_bacterium_SZUA-1403|SZUA-1403_00342	K03553		recA	recombination protein RecA	05C68@bactNOG,0GB1U@delNOG,0HC75@dproNOG,16Q80@proNOG,COG0468@NOG	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)			SZUA-1403_46:c(1386..2438)	Protein RecA	K03553	K03553		K03553	K04484
Candidatus_bacterium_SZUA-1403|SZUA-1403_00343									SZUA-1403_46:c(2534..7864)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00344									SZUA-1403_46:c(7895..9250)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00345	K02956		RP-S15, MRPS15, rpsO	small subunit ribosomal protein S15	05K77@bactNOG,1CGT2@therNOG,COG0184@NOG	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it helps nucleate assembly of the platform of the 30S subunit by binding and bridging several RNA helices of the 16S rRNA (By similarity)			SZUA-1403_46:9500..9754	30S ribosomal protein S15	K02956	K02956		K02956	K02956
Candidatus_bacterium_SZUA-1403|SZUA-1403_00346									SZUA-1403_46:9882..10307	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00347									SZUA-1403_46:10577..11191	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00348	K06925		tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE					SZUA-1403_46:11204..11740	hypothetical protein	K06925	K06925			
Candidatus_bacterium_SZUA-1403|SZUA-1403_00349					00MGK@actNOG,05IRM@bactNOG,11Q2P@NOG	SprT-like family			SZUA-1403_46:11754..12248	Protein SprT					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00350	K03551	[EC:3.6.4.12]	ruvB	holliday junction DNA helicase RuvB	05CKJ@bactNOG,0NDP4@firmNOG,0X1WP@negNOG,COG2255@NOG	The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing (By similarity)			SZUA-1403_46:c(12254..13282)	Holliday junction ATP-dependent DNA helicase RuvB	K03551	K03551		K03551	K03551
Candidatus_bacterium_SZUA-1403|SZUA-1403_00351									SZUA-1403_46:c(13586..15025)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00353					0KTJJ@eurNOG,COG2319@NOG,arCOG02561@arNOG	Thrombospondin type 3			SZUA-1403_47:317..1852	Alpha-agarase					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00354	K00943	[EC:2.7.4.9]	tmk, DTYMK	dTMP kinase	0KTVI@eurNOG,COG0125@NOG,arCOG01891@arNOG	thymidylate kinase			SZUA-1403_47:2313..2924	Thymidylate kinase	K00943	K00943		K00943	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00355	K02342	[EC:2.7.7.7]	dnaQ	DNA polymerase III subunit epsilon	05DE5@bactNOG,0ENN5@cloNOG,0NDJW@firmNOG,COG2176@NOG	Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity (By similarity)			SZUA-1403_47:c(2979..5261)	DNA polymerase III PolC-type	K02342	K02342		K02342	K03763
Candidatus_bacterium_SZUA-1403|SZUA-1403_00356					05CDX@bactNOG,0Y46N@NOG				SZUA-1403_48:632..1120	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00357	K01744	[EC:4.3.1.1]	aspA	aspartate ammonia-lyase	08IJ0@bactNOG,0F72Q@cloNOG,0P691@firmNOG,COG1027@NOG	Aspartate ammonia-lyase			SZUA-1403_48:1191..2522	Aspartate ammonia-lyase	K01744	K01744		K01744	K01744
Candidatus_bacterium_SZUA-1403|SZUA-1403_00358	K07033		K07033	uncharacterized protein	COG0719@NOG,arCOG01715@arNOG	sufbd protein			SZUA-1403_48:2551..3114	hypothetical protein	K07033			K07033	
Candidatus_bacterium_SZUA-1403|SZUA-1403_00359									SZUA-1403_48:3226..4752	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00360	K08972		K08972	putative membrane protein					SZUA-1403_48:c(4802..5191)	hypothetical protein	K08972	K08972			
Candidatus_bacterium_SZUA-1403|SZUA-1403_00361									SZUA-1403_48:c(5207..6610)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00362									SZUA-1403_48:c(6611..7039)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00363									SZUA-1403_48:c(7063..7725)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00364	K03657	[EC:3.6.4.12]	uvrD, pcrA	DNA helicase II / ATP-dependent DNA helicase PcrA	04RRB@bacNOG,05C4R@bactNOG,0NDZU@firmNOG,COG0210@NOG	ATP-dependent DNA helicase pcra			SZUA-1403_49:149..2371	ATP-dependent DNA helicase PcrA	K03657	K03657		K03657	K03658
Candidatus_bacterium_SZUA-1403|SZUA-1403_00365									SZUA-1403_49:2452..2724	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00366									SZUA-1403_49:c(2733..2975)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00367									SZUA-1403_49:c(2977..3489)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00368	K02469	[EC:5.99.1.3]	gyrA	DNA gyrase subunit A	04RKK@bacNOG,05C24@bactNOG,0NDT2@firmNOG,COG0188@NOG	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)			SZUA-1403_49:c(3521..6070)	DNA gyrase subunit A	K02469	K02469		K02469	K03164
Candidatus_bacterium_SZUA-1403|SZUA-1403_00369	K03699		tlyC	putative hemolysin	05C37@bactNOG,0ENZE@cloNOG,0NDM4@firmNOG,COG1253@NOG	CBS domain protein			SZUA-1403_49:c(6141..7403)	hypothetical protein	K03699			K03699	K03699
Candidatus_bacterium_SZUA-1403|SZUA-1403_00370									SZUA-1403_49:c(7461..7898)	hypothetical protein					
Candidatus_bacterium_SZUA-1403|SZUA-1403_00371	K02118		ATPVB, ntpB, atpB	V/A-type H+/Na+-transporting ATPase subunit B	08JIP@bactNOG,0F7BS@cloNOG,0P6M4@firmNOG,COG1156@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane. The V-type beta chain is a regulatory subunit (By similarity)			SZUA-1403_49:c(8121..9518)	V-type sodium ATPase subunit B	K02118	K02118		K02118	K02147
Candidatus_bacterium_SZUA-1403|SZUA-1403_00372	K02117	[EC:3.6.3.14][EC:3.6.3.15]	ATPVA, ntpA, atpA	V/A-type H+/Na+-transporting ATPase subunit A	08G5X@bactNOG,0QHKI@fusoNOG,COG1155@NOG	ATP synthase alpha/beta chain, C terminal domain			SZUA-1403_49:c(9564..11315)	V-type sodium ATPase catalytic subunit A	K02117	K02117			K02145
Candidatus_bacterium_SZUA-1403|SZUA-1403_00373	K02122		ATPVF, ntpF, atpF	V/A-type H+/Na+-transporting ATPase subunit F	05KXQ@bactNOG,0EUAC@cloNOG,0NKYZ@firmNOG,COG1436@NOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1403_49:c(11362..11691)	V-type sodium ATPase subunit G	K02122			K02122	K02151
