#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00001	K11600		RRP41, EXOSC4, SKI6	exosome complex component RRP41	02H1C@arcNOG,0KR95@eurNOG,COG0689@NOG,arCOG01575@arNOG	Probably involved in the 3'- 5' degradation of a variety of RNA species			SZUA-1439_1:88..492	Exosome complex component Rrp41	K11600	K11600		K11600	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00322	K03179	[EC:2.5.1.39]	ubiA	4-hydroxybenzoate polyprenyltransferase	0KT8J@eurNOG,COG0382@NOG,arCOG00477@arNOG	4-hydroxybenzoate			SZUA-1439_105:1791..2627	Digeranylgeranylglyceryl phosphate synthase	K03179	K03179	K03179	K03179	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00323					02HMZ@arcNOG,0KSQS@eurNOG,COG1810@NOG,arCOG02469@arNOG	Pfam:DUF166			SZUA-1439_105:c(2599..3210)	Thymidylate synthase					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00324	K06898		larB	nicotinic acid adenine dinucleotide carboxylase/hydrolase	0KSGZ@eurNOG,COG1691@NOG,arCOG02465@arNOG	1-(5-phosphoribosyl)-5-amino-4-imidazole- carboxylate (AiR) carboxylase			SZUA-1439_106:57..482	N5-carboxyaminoimidazole ribonucleotide mutase	K06898	K06898		K06898	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00325	K03120		TBP, tbp	transcription initiation factor TFIID TATA-box-binding protein	0KSQ1@eurNOG,COG2101@NOG,arCOG01764@arNOG	General factor that plays a role in the activation of archaeal genes transcribed by RNA polymerase. Binds specifically to the TATA box promoter element which lies close to the position of transcription initiation (By similarity)			SZUA-1439_106:c(613..1167)	TATA-box-binding protein 2	K03120	K03120	K03120	K03120	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00326	K08851	[EC:2.7.11.1]	TP53RK, PRPK, BUD32	TP53 regulating kinase and related kinases	02HKZ@arcNOG,0KT6E@eurNOG,COG3642@NOG,arCOG01185@arNOG	Mn2 dependent serine threonine protein kinase			SZUA-1439_106:1400..2005	KEOPS complex subunit Bud32	K08851	K08851	K08851	K08851	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00327	K07730		K07730	putative transcriptional regulator	0KS8H@eurNOG,COG1497@NOG,arCOG04399@arNOG	Transcriptional regulator			SZUA-1439_106:2271..3038	hypothetical protein	K07730	K07730	K07730	K07730	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00328	K06173	[EC:5.4.99.12]	truA, PUS1	tRNA pseudouridine38-40 synthase	02HTN@arcNOG,0KRJT@eurNOG,COG0101@NOG,arCOG04449@arNOG	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs (By similarity)			SZUA-1439_106:c(3413..3946)	tRNA pseudouridine synthase A	K06173	K06173		K06173	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00329	K02877		RP-L15e, RPL15	large subunit ribosomal protein L15e	0KSNW@eurNOG,COG1632@NOG,arCOG04209@arNOG	50S ribosomal protein L15E			SZUA-1439_107:297..896	50S ribosomal protein L15e	K02877	K02877	K02877	K02877	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00330					02HZZ@arcNOG,02T1J@arNOG,0KYM7@eurNOG,103BR@NOG				SZUA-1439_107:988..1491	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00331	K02032		ABC.PE.A1	peptide/nickel transport system ATP-binding protein	0KSAQ@eurNOG,COG4608@NOG,arCOG00184@arNOG	ABC transporter			SZUA-1439_107:c(1892..2659)	Molybdate/tungstate import ATP-binding protein WtpC	K02032	K02032		K02032	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00332	K02501	[EC:2.4.2.-]	hisH	glutamine amidotransferase	02HMB@arcNOG,0KT3F@eurNOG,COG0118@NOG,arCOG00089@arNOG	IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR (By similarity)			SZUA-1439_108:318..911	GMP synthase [glutamine-hydrolyzing] subunit A	K02501	K02501	K02501	K02501	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00333	K07565		NIP7	60S ribosome subunit biogenesis protein NIP7	02HQS@arcNOG,0KV2N@eurNOG,COG1374@NOG,arCOG00993@arNOG	Uncharacterised protein family (UPF0113)			SZUA-1439_108:1089..1643	hypothetical protein	K07565	K07565		K07565	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00334									SZUA-1439_109:c(395..499)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00335	K03405	[EC:6.6.1.1]	chlI, bchI	magnesium chelatase subunit I	02HHP@arcNOG,0KYMX@eurNOG,COG1239@NOG,arCOG00438@arNOG	ATPase associated with various cellular activities, AAA_5			SZUA-1439_110:447..1886	hypothetical protein	K03405	K03405	K03405	K03405	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00338	K10726	[EC:3.6.4.-]	mcm, cdc21	replicative DNA helicase Mcm	0KRHZ@eurNOG,COG1241@NOG,arCOG00439@arNOG	Mcm family			SZUA-1439_111:c(778..2856)	Minichromosome maintenance protein MCM	K10726	K10726	K10726	K10726	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00339	K00765	[EC:2.4.2.17]	hisG	ATP phosphoribosyltransferase	02HE3@arcNOG,0KRMQ@eurNOG,COG0040@NOG,arCOG02208@arNOG	ATP phosphoribosyltransferase (EC 2.4.2.17)			SZUA-1439_111:c(3064..3909)	ATP phosphoribosyltransferase	K00765	K00765		K00765	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00340	K15865	[EC:2.8.4.5]	CDKAL1	threonylcarbamoyladenosine tRNA methylthiotransferase CDKAL1	02H6D@arcNOG,0KRAT@eurNOG,COG0621@NOG,arCOG01358@arNOG	MiaB-like tRNA modifying enzyme			SZUA-1439_111:4603..5883	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	K15865	K15865	K15865		
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00341					0XQJA@NOG,arCOG04197@arNOG				SZUA-1439_112:17..148	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00342									SZUA-1439_112:204..338	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00343									SZUA-1439_112:880..1110	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00344									SZUA-1439_112:1114..1350	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00345	K03799	[EC:3.4.24.-]	htpX	heat shock protein HtpX	0KRNB@eurNOG,COG0501@NOG,arCOG01331@arNOG	Protease HtpX homolog			SZUA-1439_112:1538..2431	Protease HtpX	K03799	K03799		K03799	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00346	K00096	[EC:1.1.1.261]	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+]	02HC6@arcNOG,0KRCA@eurNOG,COG0371@NOG,arCOG00982@arNOG	Catalyzes the NAD(P)H-dependent reduction of dihydroxyacetonephosphate (DHAP or glycerone phosphate) to glycerol 1-phosphate (G1P). The G1P thus generated is used as the glycerophosphate backbone of phospholipids in the cellular membranes of Archaea (By similarity)			SZUA-1439_112:2575..3618	Glycerol-1-phosphate dehydrogenase [NAD(P)+]	K00096	K00096	K00096	K00096	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00347	K06981	[EC:2.7.4.26]	ipk	isopentenyl phosphate kinase	0KUAC@eurNOG,COG1608@NOG,arCOG00860@arNOG	aspartate glutamate uridylate kinase			SZUA-1439_112:c(3830..4564)	Isopentenyl phosphate kinase	K06981	K06981	K06981	K06981	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00348					02H50@arcNOG,0KS5S@eurNOG,COG2038@NOG,arCOG04272@arNOG	Phosphoribosyltransferase			SZUA-1439_112:4810..5829	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00349					02H6F@arcNOG,0KYKM@eurNOG,COG0438@NOG,arCOG01403@arNOG	Inherit from arCOG: glycosyl transferase group 1			SZUA-1439_112:c(5831..6877)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00350	K13280	[EC:3.4.21.89]	SEC11, sipW	signal peptidase I	02HMS@arcNOG,0KSS6@eurNOG,COG0681@NOG,arCOG01739@arNOG	Peptidase S26B, signal peptidase			SZUA-1439_113:c(217..762)	hypothetical protein	K13280	K13280	K13280	K13280	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00351	K01151	[EC:3.1.21.2]	nfo	deoxyribonuclease IV	02HDK@arcNOG,0KSH1@eurNOG,COG0648@NOG,arCOG01894@arNOG	protein TIM barrel			SZUA-1439_113:c(940..1761)	endonuclease 4	K01151	K01151	K01151	K01151	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00352									SZUA-1439_114:c(166..612)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00353					02I30@arcNOG,0KUNE@eurNOG,COG5431@NOG,arCOG01121@arNOG	Zinc finger SWIM domain protein			SZUA-1439_114:c(878..1207)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00354					02HUD@arcNOG,0KSZU@eurNOG,COG4749@NOG,arCOG04411@arNOG	Uncharacterized protein conserved in archaea (DUF2150)			SZUA-1439_114:c(1194..1745)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00356	K07583	[EC:5.4.99.25]	PUS10	tRNA pseudouridine synthase 10	02H24@arcNOG,0KRQF@eurNOG,COG1258@NOG,arCOG01015@arNOG	Responsible for synthesis of pseudouridine from uracil- 54 and uracil-55 in the psi GC loop of transfer RNAs (By similarity)			SZUA-1439_114:c(2284..2490)	tRNA pseudouridine synthase Pus10	K07583	K07583		K07583	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00357	K02121		ATPVE, ntpE, atpE	V/A-type H+/Na+-transporting ATPase subunit E	02HWQ@arcNOG,0KSQF@eurNOG,COG1390@NOG,arCOG00869@arNOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1439_115:53..412	V-type ATP synthase subunit E	K02121	K02121		K02121	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00358	K02119		ATPVC, ntpC, atpC	V/A-type H+/Na+-transporting ATPase subunit C	02H8C@arcNOG,0KSBI@eurNOG,COG1527@NOG,arCOG02459@arNOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1439_115:419..1438	V-type ATP synthase subunit C	K02119	K02119	K02119	K02119	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00359	K02122		ATPVF, ntpF, atpF	V/A-type H+/Na+-transporting ATPase subunit F	02HYI@arcNOG,0KUJF@eurNOG,COG1436@NOG,arCOG04102@arNOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1439_115:1435..1740	V-type ATP synthase subunit F	K02122	K02122	K02122	K02122	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00360					0KWPK@eurNOG,1245K@NOG,arCOG04405@arNOG	ASCH domain			SZUA-1439_116:c(98..457)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00361	K07128		K07128	uncharacterized protein	0KVSD@eurNOG,COG2401@NOG,arCOG04297@arNOG	ABC transporter			SZUA-1439_116:498..2387	putative ABC transporter ATP-binding protein	K07128	K07128	K07128	K07128	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00362	K01803	[EC:5.3.1.1]	TPI, tpiA	triosephosphate isomerase (TIM)	02HHX@arcNOG,0KRA9@eurNOG,COG0149@NOG,arCOG01087@arNOG	triosephosphate isomerase (EC 5.3.1.1)			SZUA-1439_117:343..1002	Triosephosphate isomerase	K01803	K01803	K01803	K01803	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00363									SZUA-1439_117:1003..1524	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00364	K07450		K07450	putative resolvase	COG2452@NOG,arCOG03164@arNOG	DNA binding domain protein, excisionase family			SZUA-1439_118:289..606	hypothetical protein	K07450			K07450	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00365	K07496		K07496	putative transposase	COG0675@NOG,arCOG00679@arNOG	Transposase, IS605 OrfB family			SZUA-1439_118:843..1037	hypothetical protein	K07496			K07496	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00366	K07496		K07496	putative transposase	0KS64@eurNOG,COG0675@NOG,arCOG00679@arNOG	Transposase, is605 orfb family			SZUA-1439_118:1123..1257	hypothetical protein	K07496			K07496	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00367	K07496		K07496	putative transposase	0KS64@eurNOG,COG0675@NOG,arCOG00679@arNOG	Transposase, is605 orfb family			SZUA-1439_118:1329..1550	hypothetical protein	K07496			K07496	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00368	K18882	[EC:2.7.7.-]	priL, pri2, priB	DNA primase large subunit	02HEZ@arcNOG,0KRYG@eurNOG,COG2219@NOG,arCOG03013@arNOG	DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments on both template strands at replication forks during chromosomal DNA synthesis (By similarity)			SZUA-1439_119:12..1115	DNA primase large subunit PriL	K18882	K18882	K18882	K18882	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00369	K09738		K09738	uncharacterized protein	0KTUT@eurNOG,COG2090@NOG,arCOG04171@arNOG	Domain of unknown function (DUF371)			SZUA-1439_119:1188..1604	hypothetical protein	K09738	K09738	K09738	K09738	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00370	K00052	[EC:1.1.1.85]	leuB, IMDH	3-isopropylmalate dehydrogenase	02HI2@arcNOG,0KRWT@eurNOG,COG0473@NOG,arCOG01163@arNOG	isopropylmalate isohomocitrate dehydrogenase (EC 1.1.1.85)			SZUA-1439_120:506..1492	3-isopropylmalate/3-methylmalate dehydrogenase	K00052	K00052	K00052	K00031	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00371	K15449	[EC:4.1.3.44]	TYW1	tRNA wybutosine-synthesizing protein 1	02GY3@arcNOG,0KS1E@eurNOG,COG0731@NOG,arCOG04174@arNOG	Wyosine base formation			SZUA-1439_121:12..896	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase	K15449	K15449	K15449	K15449	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00372	K01262	[EC:3.4.11.9]	pepP	Xaa-Pro aminopeptidase	0KRWH@eurNOG,COG0006@NOG,arCOG01000@arNOG	peptidase M24			SZUA-1439_121:c(1094..2182)	Xaa-Pro dipeptidase	K01262	K01262	K01262	K01262	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00373	K01586	[EC:4.1.1.20]	lysA	diaminopimelate decarboxylase	0KRVR@eurNOG,COG0019@NOG,arCOG02268@arNOG	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine (By similarity)			SZUA-1439_121:c(2307..3566)	Diaminopimelate decarboxylase	K01586	K01586	K01586	K01581	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00375					02HZI@arcNOG,0KUX1@eurNOG,11UUQ@NOG,arCOG04381@arNOG				SZUA-1439_123:c(116..472)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00376	K07398		K07398	conserved protein with predicted RNA binding PUA domain	02HMP@arcNOG,0KU5M@eurNOG,COG1370@NOG,arCOG00991@arNOG	PUA domain containing protein			SZUA-1439_123:c(513..998)	tRNA-guanine(15) transglycosylase	K07398	K07398	K07398	K07398	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00377	K00806	[EC:2.5.1.31]	uppS	undecaprenyl diphosphate synthase	02HYJ@arcNOG,0KTE4@eurNOG,COG0020@NOG,arCOG01532@arNOG	K00806 undecaprenyl diphosphate synthase EC 2.5.1.31			SZUA-1439_123:c(988..1527)	Tritrans,polycis-undecaprenyl-diphosphate synthase (GGDP specific)	K00806	K00806		K00806	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00378	K10907	[EC:2.6.1.-]	K10907	aminotransferase	02GWA@arcNOG,0KRFG@eurNOG,COG0436@NOG,arCOG01130@arNOG	Aminotransferase class I and II			SZUA-1439_125:65..1063	Aromatic-amino-acid aminotransferase 2	K10907	K10907		K00812	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00379					02I1W@arcNOG,0KYNH@eurNOG,110RS@NOG,arCOG10228@arNOG				SZUA-1439_125:1088..1429	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00380	K06944		K06944	uncharacterized protein	02GUQ@arcNOG,0KRHX@eurNOG,COG1163@NOG,arCOG00358@arNOG	GTP-binding protein			SZUA-1439_125:c(1638..2702)	Fe(2+) transporter FeoB	K06944	K06944	K06944	K06944	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00381	K02962		RP-S17e, RPS17	small subunit ribosomal protein S17e	02I25@arcNOG,0KV43@eurNOG,COG1383@NOG,arCOG01885@arNOG	30S ribosomal protein S17e			SZUA-1439_126:886..1083	30S ribosomal protein S17e	K02962	K02962	K02962	K02962	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00382									SZUA-1439_126:c(1420..1725)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00383	K01191	[EC:3.2.1.24]	MAN2C1	alpha-mannosidase	0KRPT@eurNOG,COG0383@NOG,arCOG03661@arNOG	alpha-mannosidase (EC 3.2.1.24)			SZUA-1439_127:73..1572	hypothetical protein	K01191	K01191		K01191	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00384	K06961		KRR1	ribosomal RNA assembly protein	02HP8@arcNOG,0KTG4@eurNOG,COG1094@NOG,arCOG04150@arNOG	domain protein			SZUA-1439_127:c(1682..2224)	Ribonuclease Y	K06961	K06961	K06961	K06961	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00385	K07178	[EC:2.7.11.1]	RIOK1	RIO kinase 1	02GZX@arcNOG,0KRR7@eurNOG,COG1718@NOG,arCOG01180@arNOG	Non-specific serine threonine protein kinase (EC 2.7.11.1)			SZUA-1439_127:c(2214..3017)	RIO-type serine/threonine-protein kinase Rio1	K07178	K07178	K07178	K07178	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00386	K00762	[EC:2.4.2.10]	pyrE	orotate phosphoribosyltransferase	1111E@NOG,arCOG06415@arNOG	Inherit from NOG: orotate phosphoribosyltransferase activity			SZUA-1439_128:c(961..1338)	hypothetical protein	K00762			K00762	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00387	K02427	[EC:2.1.1.166]	rlmE, rrmJ, ftsJ	23S rRNA (uridine2552-2'-O)-methyltransferase	0KRBK@eurNOG,COG0293@NOG,arCOG00079@arNOG	Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit (By similarity)			SZUA-1439_128:c(1778..2194)	Ribosomal RNA large subunit methyltransferase E	K02427	K02427		K02427	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00388	K07013		K07013	uncharacterized protein	0KT6T@eurNOG,COG1719@NOG,arCOG01687@arNOG,arCOG01688@arNOG	transcriptional regulator ArsR family			SZUA-1439_129:c(878..1510)	hypothetical protein	K07013			K07013	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00389									SZUA-1439_130:c(534..1331)	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00390									SZUA-1439_130:1673..2173	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00391	K07008	[EC:3.5.1.118]	egtC	gamma-glutamyl hercynylcysteine S-oxide hydrolase	02HFD@arcNOG,0KT4X@eurNOG,COG0121@NOG,arCOG03639@arNOG,arCOG04399@arNOG,arCOG07614@arNOG	Glutamine amidotransferases class-II			SZUA-1439_130:c(2249..2725)	hypothetical protein	K07008			K07008	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00392									SZUA-1439_131:52..516	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00394	K22446	[EC:2.1.1.-]	K22446	tRNA (cytosine49-C5)-methyltransferase	02HBM@arcNOG,0KSY1@eurNOG,COG0144@NOG,arCOG00973@arNOG	RNA methylase, NOL1 NOP2 sun family			SZUA-1439_131:2055..3011	tRNA (cytosine(49)-C(5))-methyltransferase	K22446	K22446	K22446	K03500	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00395	K10843	[EC:3.6.4.12]	ERCC3, XPB	DNA excision repair protein ERCC-3	02I2B@arcNOG,0KRIJ@eurNOG,COG1061@NOG,arCOG00874@arNOG	type III restriction protein res subunit			SZUA-1439_131:c(3112..3315)	hypothetical protein	K10843			K10843	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00396	K03405	[EC:6.6.1.1]	chlI, bchI	magnesium chelatase subunit I	02HHP@arcNOG,0KYMX@eurNOG,COG1239@NOG,arCOG00438@arNOG	ATPase associated with various cellular activities, AAA_5			SZUA-1439_132:70..948	hypothetical protein	K03405			K03405	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00397	K03056	[EC:2.7.7.6]	rpoL	DNA-directed RNA polymerase subunit L	02I1R@arcNOG,0KV9U@eurNOG,COG1761@NOG,arCOG04111@arNOG	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)			SZUA-1439_133:1598..1861	DNA-directed RNA polymerase subunit L	K03056		K03056	K03056	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00398	K01649	[EC:2.3.3.13]	leuA, IMS	2-isopropylmalate synthase	0KRDE@eurNOG,COG0119@NOG,arCOG02092@arNOG	Catalyzes the condensation of pyruvate and acetyl- coenzyme A to form (R)-citramalate (By similarity)			SZUA-1439_134:8..976	2-isopropylmalate synthase	K01649	K01649		K01649	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00399									SZUA-1439_135:312..689	hypothetical protein					
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00400	K02122		ATPVF, ntpF, atpF	V/A-type H+/Na+-transporting ATPase subunit F	02HYI@arcNOG,0KUJF@eurNOG,COG1436@NOG,arCOG04102@arNOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1439_136:c(920..1225)	V-type ATP synthase subunit F	K02122	K02122	K02122	K02122	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00401	K02119		ATPVC, ntpC, atpC	V/A-type H+/Na+-transporting ATPase subunit C	02H8C@arcNOG,0KSBI@eurNOG,COG1527@NOG,arCOG02459@arNOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1439_136:c(1222..2241)	V-type ATP synthase subunit C	K02119	K02119	K02119	K02119	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00402	K02121		ATPVE, ntpE, atpE	V/A-type H+/Na+-transporting ATPase subunit E	02HWQ@arcNOG,0KSQF@eurNOG,COG1390@NOG,arCOG00869@arNOG	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)			SZUA-1439_136:c(2248..2814)	V-type ATP synthase subunit E	K02121	K02121	K02121	K02121	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00403	K01998		livM	branched-chain amino acid transport system permease protein	02GUU@arcNOG,0KW50@eurNOG,COG4177@NOG,arCOG01273@arNOG	Branched-chain amino acid transport system / permease component			SZUA-1439_137:c(62..1090)	hypothetical protein	K01998	K01998		K01998	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00404	K01997		livH	branched-chain amino acid transport system permease protein	02H3R@arcNOG,0KVSV@eurNOG,COG0559@NOG,arCOG01269@arNOG	Branched-chain amino acid transport system / permease component			SZUA-1439_137:c(1219..2145)	hypothetical protein	K01997	K01997	K01997	K01997	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00405	K01999		livK	branched-chain amino acid transport system substrate-binding protein	02GYQ@arcNOG,0KSB0@eurNOG,COG0683@NOG,arCOG01021@arNOG	extracellular ligand-binding receptor			SZUA-1439_137:2400..3764	Chemotactic signal transduction system substrate-binding protein BasB	K01999	K01999	K01999	K01999	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00406	K01995		livG	branched-chain amino acid transport system ATP-binding protein	02H33@arcNOG,0KSAK@eurNOG,COG0411@NOG,arCOG00925@arNOG	ABC transporter			SZUA-1439_137:3761..4519	putative branched-chain amino acid transport ATP-binding protein LivG	K01995	K01995	K01995	K01995	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00407	K01996		livF	branched-chain amino acid transport system ATP-binding protein	02HCU@arcNOG,0KT1Z@eurNOG,COG0410@NOG,arCOG00924@arNOG	ABC transporter			SZUA-1439_137:4497..5207	putative branched-chain amino acid transport ATP-binding protein LivG	K01996	K01996	K01996	K01996	
Archaeoglobus_profundus_SZUA-1439|SZUA-1439_00408	K00852	[EC:2.7.1.15]	rbsK, RBKS	ribokinase	02H5S@arcNOG,0KS1D@eurNOG,COG0524@NOG,arCOG00014@arNOG	PfkB domain protein			SZUA-1439_138:c(838..1725)	Nucleoside kinase	K00852	K00852		K00850	
